"longitude","latitude","species","country","state_province","county","locality","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","catalog_number","recorded_by","record_number","identified_by","date_identified","identification_remarks","observation_type","Year","pmaxPrecision","folds","within_range","within_buffer"
-96.072861,36.170544,"Fraxinus americana","United States","Oklahoma","Osage","","2011/10/17","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","11","","","","plot",2011,0.198406914547895,1,1,1
-97.6897,33.3581,"Fraxinus americana","United States","Texas","Wise","Alvord. ca 50 ft NE of E Pine St., ca 300 ft E of N Shankle Ave.  Growing near edge of wooded area.","2006/03/23","BRIT","BRIT","BRIT","BRIT","",361,"R. J. O'Kennon 20255","R. J. O'Kennon","20255","R. J. O'Kennon","","","specimen",2006,7.23946836376022,1,0,1
-95.47781,39.80112,"Fraxinus americana","United States","Kansas","Brown","Robinson, 1 mi S, 3.5 mi W","1969/05/09","GBIF","KU","KU","KU","KANU",4532,"176949083","Steve Stephens","","Craig C Freeman","","","specimen",1969,0.701109445780244,1,0,2
-96.0035,33.0682222222222,"Fraxinus americana","United States","Texas","Hunt","SE corner of Cowleech Prairie Preserve, ca. 50-500 ft. N of bridge on Co. Rd. 3128 ca. 1.4 roadmiles E of US Rt. 69 S of Greenville.; habitat: In narrow strip of deciduous woodland on bank of Cowleech Fork of Sabine River, ca. 10 feet above normal river level but still within floodplain, on soils mapped as deep, somewhat poorly drained, mildly alkaline clay Vertisols (Kaufman Series). Woodland dominated by Quercus macrocarpa - Q. shumardii - Fraxinus americana / Symphoricarpos orbiculatus - Smilax bona-nox - S. hispida / Chasmanthium latifolium - Elymus virginicus. Other associates included Acer negundo, Aster sp., Carya illinoinensis, Carex cherokeensis and other spp., Celtis laevigata, Cercis canadensis, Cocculus carolinus, Cornus drummondii, Euonymus atropurpurea, Fraxinus pensylvanica, Ilex decidua, Lactuca sp., Matelea gonocarpa, Parthenocissus quinquefolia, Passiflora lutea, Polygonum virginianum, Prunus mexicana, Quercus nigra, Rivina humilis, Ruellia strepens, Sanicula canadensis, Sapindus saponaria, Sideroxylon lanuginosum, Silene stellata, Sophora affinis, Thalictrum dasycarpum, Toxicodendron radicans, Ulmus alata, Verbesina virginica, Viburnum rufidulum, Viola sp., Vitis sp.","2011/05/10","TEX","TEX","TEX","TEX","TEX",346,"00458998","W. R. Carr","29612","B.L. Turner","","","specimen",2011,2.0136552176714,1,1,1
-95.96746,34.0171,"Fraxinus americana","United States","Oklahoma","Bryan","Bokchito, 10 mi E","1968/08/16","GBIF","KU","KU","KU","KANU",4532,"415727383","Steve Stephens","","Craig C Freeman","","","specimen",1968,0.721721574985366,1,1,1
-95.883739,29.083295,"Fraxinus americana","United States","Texas","Matagorda","","2009/10/08","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","3","","","","plot",2009,0.204896893128319,1,0,1
-97.533,35.65,"Fraxinus americana","United States","Oklahoma","Oklahoma","Northwest of Oklahoma City, 1.1 miles north of 178th St. on Meridian Avenue.; habitat: Growing creekside and on floodplain of creek; vegetation: Associated with Acer, Quercus, Juglans, Populus & Ulmus","1996/06/04","NY","NY","NY","NY","Herbarium",251,"44563","J. B. Walker","1885","J. B. Walker","1996/01/01","","specimen",1996,71.6094440029008,1,0,1
-95.6202778,40.4769445,"Fraxinus americana","United States","Missouri","Atchison","Watson base and slopes of loess hills","1920/09/04","MO","MO","MO","MO","",267,"","Ernest J. Palmer","19018","J. Wright,","1941/01/01","","specimen",1920,19.4053283711209,1,1,2
-95.67,33.97,"Fraxinus americana","United States","Oklahoma","Choctaw","","1992/11/01","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","3","","","","plot",1992,721.88301847582,1,1,1
-95.69,30.67,"Fraxinus americana","United States","Texas","Walker","","1985/08/01","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","6","","","","plot",1985,732.708540997712,1,1,1
