"longitude","latitude","species","country","state_province","county","locality","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","catalog_number","recorded_by","record_number","identified_by","date_identified","identification_remarks","observation_type","Year","pmaxPrecision","folds","within_range","within_buffer"
-106.268288,28.551558,"Fraxinus cuspidata","Mexico","Chihuahua","Chihuahua","Sierra azul","2009/08/22","GBIF","FZ-UACH","FZ-UACH","FZ-UACH","FZUACH",3045,1418009723,"Quintana; Vega","","Quintana; Vega","",NA,"specimen",2009,0.205342881644572,1,0,2
-112.0499,34.9418,"Fraxinus cuspidata","United States","Arizona","Yavapai","Just south of Cow flat and just E of the W boundary of the Sycamore Canyon Wilderness Area; habitat: Dry wash; est. from TRS data","1991/06/18","ARIZ","","","","",341,NA,"M.A. Baker","8570","M.A. Baker","1991/06/18",NA,"specimen",1991,7.18555864066511,1,0,4
-108.378754,35.429978,"Fraxinus cuspidata","United States","New Mexico","McKinley","Southeast of Fort Wingate, Route 547.","1979/06/13","GBIF","UNM","UNM","UNM","Vascular Plants",902,1843874988,"R. Fletcher","3963","","",NA,"specimen",1979,0.199128043467046,1,0,2
-100.275833,25.346667,"Fraxinus cuspidata","Mexico","Nuevo Leon","Santiago","Laguna de Sánchez, Santiago","2004/07/08","GBIF","FCF-UANL","FCF-UANL","FCF-UANL","CFNL",2045,1894424848,"E. Estrada; M. González; M. Barba; G. Cavazos; E. Zamora; Y. Lumbreras; C. Platas; A. Murillo; P. Platas","","E. Estrada","",NA,"specimen",2004,20.7894087386849,1,0,4
-100.098525,24.877767,"Fraxinus cuspidata","Mexico","Nuevo Leon","","4.3 mi N of edge of Galeana on rd to Rayones, at 'Puente de Dios'","1983/09/26","GBIF","CNS-UT","CNS-UT","CNS-UT","TEX",2075,1895371858,"K. C. Nixon; T. Danenhower; K. Steele; A. D. Zimmerman","","K. C. Nixon; J. M. Poole","",NA,"specimen",1983,0.208245920378503,1,0,3
-110.62202,35.00033,"Fraxinus cuspidata","United States","Arizona","Navajo","About 5 mi southeast of Winslow. Phoenix [BLM] District.","1977/05/26","GBIF","ASU","ASU","ASU","Plants",4193,2270613951,"R. K. Gierisch","3937","Lehto, 1977","",NA,"specimen",1977,0.718352120397919,1,0,4
-99.9379240217181,24.7459041072025,"Fraxinus cuspidata","Mexico","Nuevo Leon","Iturbide","3 mi W of Iturbide on Hwy to Galeana","1984/08/25","GBIF","CNS-UT","CNS-UT","CNS-UT","TEX",2075,1895371881,"M. Lavin; A. T. Whittemore; T. L. Atkins","","M. Lavin","",NA,"specimen",1984,0.208344080293032,1,0,3
-108.353138,31.640916,"Fraxinus cuspidata","United States","New Mexico","Hidalgo","Thompson Canyon.","1964/07/09","GBIF","UNM","UNM","UNM","Vascular Plants",902,1843875247,"J. Druecker","384","","",NA,"specimen",1964,2.02667535740367,1,0,2
-102.125,29.025,"Fraxinus cuspidata","Mexico","Coahuila","Acuna","Serranías del Burro, Rancho El Bonito; Mpio Villa Acuña.","1977/09/19","GBIF","CNS-UT","CNS-UT","CNS-UT","TEX",2075,1895371911,"D. Riskind","","A. Richardson","",NA,"specimen",1977,73.7808043000512,1,0,6
-108.308333,29.158333,"Fraxinus cuspidata","Mexico","Chihuahua","Madera","Puente del Río Huápuca. Cd. Madera. Mpio. Madera","1976/07/24","GBIF","INIFAP-CECOY","INIFAP-CECOY","INIFAP-CECOY","INIF",2580,1893423809,"X. MADRIGAL S.","","X. MADRIGAL S.","",NA,"specimen",1976,20.4834034980694,1,0,1
