"longitude","latitude","species","country","state_province","county","locality","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","catalog_number","recorded_by","record_number","identified_by","date_identified","identification_remarks","observation_type","Year","pmaxPrecision","folds","within_range","within_buffer"
-102.387222,28.067778,"Fraxinus greggii","Mexico","Coahuila","","1 Km NW of Puerto del Aire, the pass at the S end of the Sa de la Encantada","1941/09/01","GBIF","CNS-UT","CNS-UT","CNS-UT","LL",2075,1895522067,"R. M. Stewart","","R. M. Stewart",NA,NA,"specimen",1941,20.5743780170919,1,0,4
-100.099131,24.878553,"Fraxinus greggii","Mexico","Nuevo Leon","","7 Km N of Galeana","1981/03/15","GBIF","CNS-UT","CNS-UT","CNS-UT","LL",2075,1895521993,"H.; et al.","","Hinton; et al.",NA,NA,"specimen",1981,0.208245334010724,1,1,4
-103.301389,29.266111,"Fraxinus greggii","United States","Texas","Brewster","Chisos Mountains, Pine Canyon","1965/06/21","GBIF","KU","KU","KU","KANU",4532,176948950,"Philip V Wells","","Craig C Freeman",NA,NA,"specimen",1965,20.4742696821366,1,1,4
-100.675,25.308333,"Fraxinus greggii","Mexico","Coahuila","Arteaga","Cerro de Los Elotes, Mpio. Arteaga","1975/07/27","GBIF","INIFAP-CECOY","INIFAP-CECOY","INIFAP-CECOY","INIF",2580,1893423958,"M. F. Robert; J. R. Passini","","M. F. Robert",NA,NA,"specimen",1975,20.7923112607915,1,1,4
-103.687945440849,27.2577367192042,"Fraxinus greggii","Mexico","Coahuila","Sierra Mojada","Sa Mojada, Cañón de San Salvador","1939/09/14","GBIF","CNS-UT","CNS-UT","CNS-UT","LL",2075,1895521913,"C. H. Muller","","C. H. Muller",NA,NA,"specimen",1939,0.206401459516916,1,0,4
-98.958333,24.525,"Fraxinus greggii","Mexico","Tamaulipas","San Carlos","CAMINO DE SAN CARLOS A CERRO EL DIENTE. MPIO DE SN CARLOS. MATORRAL ALTO SUBINERME.","1986/06/03","GBIF","IEA-UAT","IEA-UAT","IEA-UAT","UAT",3454,1894150364,"Manuel Yanez","","M.YAÑEZ",NA,NA,"specimen",1986,20.8508278003512,1,0,4
-100.506835865254,27.0236219466923,"Fraxinus greggii","Mexico","Nuevo Leon","Lampazos de Naranjo","Rancho Resendez, Lampazos","1937/06/29","GBIF","CNS-UT","CNS-UT","CNS-UT","TEX",2075,1895522061,"M. Taylor E.","","M. Taylor E.",NA,NA,"specimen",1937,0.20658889017668,1,0,4
-99.075,24.725,"Fraxinus greggii","Mexico","Tamaulipas","San Carlos","2 KM AL SE DE SAN MIGUEL, SIERRA DE SAN CARLOS, MPIO DE SN CARLOS. MATORRAL ALTO.","1984/12/06","GBIF","IEA-UAT","IEA-UAT","IEA-UAT","UAT",3454,1894150358,"Oscar Briones","","Oscar Briones",NA,NA,"specimen",1984,75.0097167516134,1,1,4
-100.926092,23.238828,"Fraxinus greggii","Mexico","San Luis Potosi","Charcas","6 Km al E de Laguna Seca","1955/09/10","GBIF","CNS-UT","CNS-UT","CNS-UT","TEX",2075,1895521902,"J. Rzedowski","","J. Rzedowski",NA,NA,"specimen",1955,0.20943480613171,1,1,4
-102.683333,29.733333,"Fraxinus greggii","United States","Texas","Brewster","Reagan Canyon, about 1 mile above mouth","1947/04/04","GBIF","GH","GH","GH","GH",4414,2012877771,"R. McVaugh","7810","",NA,NA,"specimen",1947,20.4343823151182,1,1,4
