"longitude","latitude","species","country","state_province","county","locality","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","catalog_number","recorded_by","record_number","identified_by","date_identified","identification_remarks","observation_type","Year","pmaxPrecision","folds","within_range","within_buffer"
-95.47,48.99,"Fraxinus nigra","United States","Minnesota","Roseau","","1989/10/01","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","4","","","","plot",1989,665.654147521311,1,1,1
-96.441922,46.865091,"Fraxinus nigra","United States","Minnesota","Clay","Buffalo River State Park, just E","1965/07/17","GBIF","KU","KU","KU","KANU",4532,"1092710444","Orin A Stevens","","Orin A Stevens","","","specimen",1965,0.187227072921013,1,0,1
-96.99,48.21,"Fraxinus nigra","United States","Minnesota","Marshall","","1990/10/01","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","1","","","","plot",1990,668.729286927866,1,0,1
-95.346944,45.995833,"Fraxinus nigra","United States","Minnesota","Douglas","Douglas County...Lake Carlos State Park, about 6 miles north of Alexandria...T 129N R 37W SE1/4 of SW1/4 of Sec 9;Lake Carlos State Park;129N;37W;09","1993/06/18","GBIF","MIN","MIN","MIN","Plants",4613,"2265432251","Smith, Welby","22506","","","","specimen",1993,18.8172974343728,1,1,1
-96.29,47.53,"Fraxinus nigra","United States","Minnesota","Polk","","1988/01/01","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","2","","","","plot",1988,671.405970714695,1,0,1
-95.58,47.71,"Fraxinus nigra","United States","Minnesota","Polk","","1990/12/01","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","3","","","","plot",1990,670.697907394399,1,1,1
-96.562778,50.7022219990757,"Fraxinus nigra","Canada","Manitoba","","Victoria Beach","1921/08/12","GBIF","University of Manitoba","University of Manitoba","University of Manitoba","WIN",3048,"1703292878","V.W. Jackson","","V.W. Jackson","","","specimen",1921,18.3026749805065,1,0,1
-95.3168272906066,49.1999026250763,"Fraxinus nigra","Canada","Manitoba","","Moose Lake, Northwest Angle Provincial Forest","1978/09/04","GBIF","University of Manitoba","University of Manitoba","University of Manitoba","WIN",3048,"1703287925","Gloria M. Keleher","675","G.M. Keleher","","","specimen",1978,0.184673774715932,1,1,1
-96.294,51.067,"Fraxinus nigra","Canada","Manitoba","","SIte#26. Hwy304, 3 km S of Manigotagan River Crossing,  Nopiming Provincial Park; habitat: Very wet black ash stand with ground cover of ferns and grasses. (Calamagrostis canadensis dominant).","1993/08/16","WIN","University of Manitoba","University of Manitoba","University of Manitoba","WIN",NA,"55265","Elizabeth Punter","93/743","","","","specimen",1993,65.7456994673457,1,1,1
-95.8811868301626,50.1349037764059,"Fraxinus nigra","Canada","Manitoba","","Pinawa townsite, riverbank","1969/08/16","GBIF","University of Manitoba","University of Manitoba","University of Manitoba","WIN",3048,"1703285982","G. Hawley","H-38","J.R. Dugle","","","specimen",1969,0.183648660916001,1,1,1
