"longitude","latitude","species","country","state_province","county","locality","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","catalog_number","recorded_by","record_number","identified_by","date_identified","identification_remarks","observation_type","Year","pmaxPrecision","folds","within_range","within_buffer"
-103.430275,38.923054,"Fraxinus pennsylvanica","United States","Colorado","Lincoln","Hugo, 14 mi S, 1 mi E, Hugo State Wildlife Management Area, N part","2000/06/25","GBIF","KU","KU","KU","KANU",4532,"176948895","Craig C Freeman; Caleb A Morse","","Craig C Freeman","","","specimen",2000,0.195653156653157,1,0,1
-105.76077,47.09928,"Fraxinus pennsylvanica","United States","Montana","Prairie","Terry, 30 mi NW","1973/07/11","GBIF","KU","KU","KU","KANU",4532,"233098943","Steve Stephens","","Craig C Freeman","","","specimen",1973,0.673098169954884,1,1,1
-103.309378,45.523524,"Fraxinus pennsylvanica","United States","South Dakota","Harding","Slim Buttes near Reva Gap, T18N R7E S18 T18N R7E S18","1970/07/09","GBIF","BHSC","BHSC","BHSC","BHSC",4232,"2512330845","Van Bruggen, Ted","5669","","","","specimen",1970,0.18868508206955,1,1,1
-104.30837,47.10458,"Fraxinus pennsylvanica","United States","Montana","Dawson","Glendive, 19 mi E","1968/06/27","GBIF","KU","KU","KU","KANU",4532,"233098886","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1968,0.673077356706643,1,1,1
-103.625214,40.307807,"Fraxinus pennsylvanica","United States","Colorado","Morgan","3.4 miles north of Brush, Brush State wildlife area, across slough, NNW of parking lot about 0.4 of a mile, south of river","2017/06/01","GBIF","DBG","DBG","DBG","KHD",4339,"2242356333","Bruce Bosley; Cathy Bosley","17-18","","","","specimen",2017,0.194228611320247,1,0,1
-106.46569,46.27444,"Fraxinus pennsylvanica","United States","Montana","Rosebud","Rosebud, 1 mi W","1973/07/28","GBIF","KU","KU","KU","KANU",4532,"233098960","Steve Stephens","","Craig C Freeman","","","specimen",1973,0.676332294657042,1,1,1
-107.28797,45.60404,"Fraxinus pennsylvanica","United States","Montana","Big Horn","Crow Agency, 8.5 mi E","1973/07/30","GBIF","KU","KU","KU","KANU",4532,"233098830","Steve Stephens","","Craig C Freeman","","","specimen",1973,0.678952232552333,1,1,1
-106.10921,45.44173,"Fraxinus pennsylvanica","United States","Montana","Powder River","Broadus, 34 mi W","1973/07/31","GBIF","KU","KU","KU","KANU",4532,"233098799","Steve Stephens","","Craig C Freeman","","","specimen",1973,0.679585212165697,1,1,1
-104.18827,46.65206,"Fraxinus pennsylvanica","United States","Montana","Wibaux","Wibaux, 23 mi S","1968/06/26","GBIF","KU","KU","KU","KANU",4532,"233098926","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1968,0.674853003721986,1,1,1
-103.36355,43.71645,"Fraxinus pennsylvanica","United States","South Dakota","Custer","Hermosa, 12 mi SW","1966/06/29","GBIF","KU","KU","KU","KANU",4532,"176949182","Steve Stephens","","Caleb A Morse","","","specimen",1966,0.68627535309666,1,1,1
-104.772,39.74137,"Fraxinus pennsylvanica","United States","Colorado","Adams","Along the High Line Canal Trail at Mile Marker 61. E of Tower Rd. 125 meters N of intersection of E Ccolfax Ave and Tower Rd.","2018/05/22","GBIF","DBG","DBG","DBG","KHD",4339,"2242358010","Katherine Fu; Margo Paces; Meghan McGill; Rebecca Hufft","96","Margo Paces","2018/05/23","","specimen",2018,0.701331159889647,1,0,1
-104.56565,50.81939,"Fraxinus pennsylvanica","Canada","Saskatchewan","","Qu'Appelle District. Fairy Hill, south embankment of Agassiz coulée. Common in coulées.","1951/07/01","GBIF","MNHN","MNHN","MNHN","P",4620,"474693274","Boivin, B.|Dore, W.G.","","","","","specimen",1951,0.658433592180752,1,1,1
-103.342362229431,44.3766079182321,"Fraxinus pennsylvanica","United States","South Dakota","Meade","Fort Meade Recreation Area","1991/06/11","GBIF","KU","KU","KU","KANU",4532,"176949169","James R Johnson","","James R Johnson","","","specimen",1991,0.189923417870222,1,1,1
-104.024955,44.4796129990569,"Fraxinus pennsylvanica","United States","South Dakota","Lawrence","Bear/Beaver Gulches Botanical Area, in northeast corner of botanical area along Beaver Creek ca. 0.75 mile south of J. Miller Ranch along Beaver Creek near the north end of the project area T6N R1E S17 NE1/4 SW1/4","2010/08/17","GBIF","USFS/BHSC","USFS/BHSC","USFS/BHSC","BHSC",3527,"2512333418","Ecological Solutions Group, LLC","2970","","","","specimen",2010,0.189812560329841,1,1,1
-105.100548,39.822026,"Fraxinus pennsylvanica","United States","Colorado","Jefferson","Majestic View Nature Center; 7030 Garrison Street, Arvada, CO. 100 feet west of lake drainage, 100 feet down from concrete dam.","2003/06/10","GBIF","DBG","DBG","DBG","KHD",4339,"2242376803","RHR Staff led group; Janet Wingate; P. Francis; B. Levene; L. Bishop; A. Cislo","B20","","","","specimen",2003,0.194731065569037,1,0,1
-104.014542,43.449054,"Fraxinus pennsylvanica","United States","South Dakota","Fall River","Beaver Creek T7S R7E S23","1911/07/24","GBIF","BHSC","BHSC","BHSC","BHSC",4232,"2512332847","Visher, Stephen S.","2542","","","","specimen",1911,0.190918105254436,1,1,1
-107.0555,48.6346999990645,"Fraxinus pennsylvanica","United States","Montana","Valley","Bull Pasture Coulee and above, east of Windy Ridge Road ca. 1.5 air miles NE of Erie Reservoir; ca. 17 air miles north of Hinsdale T33N R36E S7 E1/2","2010/07/27","GBIF","BHSC","BHSC","BHSC","BHSC",4232,"2512329945","Charboneau, Joseph","2328","","","","specimen",2010,0.185293051702687,1,1,1
-105.055975,46.430005,"Fraxinus pennsylvanica","United States","Montana","Custer","Locate, 12 mi E","1973/07/10","GBIF","KU","KU","KU","KANU",4532,"233098933","Steve Stephens","","Craig C Freeman","","","specimen",1973,0.187700880228811,1,1,1
-106.85166,48.34004,"Fraxinus pennsylvanica","United States","Montana","Valley","Glasgow, 14 mi NW","1973/07/19","GBIF","KU","KU","KU","KANU",4532,"233098815","Steve Stephens","","Craig C Freeman","","","specimen",1973,0.668216459636963,1,1,1
-107.44868,46.15441,"Fraxinus pennsylvanica","United States","Montana","Treasure","Big Horn, 0.5 mi S","1973/07/29","GBIF","KU","KU","KU","KANU",4532,"233098852","Steve Stephens","","Craig C Freeman","","","specimen",1973,0.676801990494002,1,1,1
-104.80401,48.7745,"Fraxinus pennsylvanica","United States","Montana","Sheridan","Plentywood, 11 mi W","1973/07/16","GBIF","KU","KU","KU","KANU",4532,"233098734","Steve Stephens","","Craig C Freeman","","","specimen",1973,0.666503720645245,1,1,1
-103.29189,46.91466,"Fraxinus pennsylvanica","United States","North Dakota","Billings","Medora, 11 mi E","1966/07/01","GBIF","KU","KU","KU","KANU",4532,"233098831","Thomas B Croat","","Craig C Freeman","","","specimen",1966,0.673822951583062,1,1,1
-103.567728845,47.008997852,"Fraxinus pennsylvanica","United States","North Dakota","","East through western boundary fence on the Petrified Forest Trail.; THRO -- South Unit","1997/12/07","VegBank","Theodore Roosevelt National Park","Jim Drake","","",92,"","","","Jim Drake","1997/12/07","","plot",1997,0.187070184320219,1,1,1
-105.056667,40.579167,"Fraxinus pennsylvanica","United States","Colorado","Larimer","In parking lot of medical office building along E side of medical office building along E side of Lemay Ave and on south side of Poudre River trail.","2005/05/23","GBIF","GH","GH","GH","GH",4414,"2012884017","R. M. King & R. M. Garvey","13715","","","","specimen",2005,19.3946993029388,1,0,1
-103.95239,42.73839,"Fraxinus pennsylvanica","United States","Nebraska","Sioux","Harrison, 5 mi NW","1967/08/12","GBIF","KU","KU","KU","KANU",4532,"233098872","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1967,1.91675672162778,1,1,1
-103.6427,48.06742,"Fraxinus pennsylvanica","United States","North Dakota","McKenzie","Alexander, 15.5 mi N","1967/07/06","GBIF","KU","KU","KU","KANU",4532,"233098947","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1967,0.669290438275208,1,1,1
-104.2899,45.591299999057,"Fraxinus pennsylvanica","United States","Montana","Carter","Along Tie Creek Road ca. 0.5 air mile south of Belltower Butte; ca. 24 air miles SSE of Ekalaka T3S R60E S11 NW1/4","2009/07/02","GBIF","BHSC","BHSC","BHSC","BHSC",4232,"2562611225","Hallman, Hans","1297","","","","specimen",2009,0.188611649314677,1,1,1
-103.813617,41.775005,"Fraxinus pennsylvanica","United States","Nebraska","Scotts Bluff","","2007/07/26","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","1","","","","plot",2007,0.192694726325561,1,0,1
-104.561741166,42.201951446,"Fraxinus pennsylvanica","United States","Wyoming","","W of Laramie R. < 1/4 mile downstream from bridge at SW end of Fort Site; FOLA","1997/06/21","VegBank","Fort Laramie National Historic Site","Jim Drake","","",11,"","","","Jim Drake","1997/06/21","","plot",1997,0.192244112956225,1,1,1
-105.964555,45.690041,"Fraxinus pennsylvanica","United States","Montana","Powder River","","2003/05/27","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","2","","","","plot",2003,0.188504616393622,1,1,1
-107.094839,44.916551,"Fraxinus pennsylvanica","United States","Wyoming","Sheridan","","2000/10/23","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","5","","","","plot",2000,0.189341501930974,1,1,1
-102.235601,45.693601,"Fraxinus pennsylvanica","United States","South Dakota","Perkins","Grand River National Grassland, Custer National Forest","1982/06/30","GBIF","KU","KU","KU","KANU",4532,"233098967","Paul L Hansen","","Paul L Hansen","","","specimen",1982,0.188500758827753,2,1,1
-102.99991,42.69904,"Fraxinus pennsylvanica","United States","Nebraska","Dawes","Chadron, 9 mi S","1968/07/13","GBIF","KU","KU","KU","KANU",4532,"233098803","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1968,0.690182115807863,2,1,1
-102.595621426,43.507369875,"Fraxinus pennsylvanica","United States","South Dakota","","(none); BADL -- South Unit","1997/08/11","VegBank","Badlands National Park","Don Faber-Langendoen","","",78,"","","","Don Faber-Langendoen","1997/08/11","","plot",1997,0.19085576756966,2,1,1
-102.18528,39.316113,"Fraxinus pennsylvanica","United States","Colorado","Kit Carson","Burlington, 3 mi E along US 24","2000/08/18","GBIF","KU","KU","KU","KANU",4532,"176949178","Craig C Freeman; Caleb A Morse","","Craig C Freeman","","","specimen",2000,0.195251255948061,2,0,2
-102.13415,41.31688,"Fraxinus pennsylvanica","United States","Nebraska","Garden","Lewellen, 1 mi S, 0.5 mi E","1968/07/13","GBIF","KU","KU","KU","KANU",4532,"233098887","Ronald L McGregor; Janét E Bare","","Craig C Freeman","","","specimen",1968,0.695434270644248,2,1,1
-102.022989,48.614493,"Fraxinus pennsylvanica","United States","North Dakota","Ward","","2009/07/14","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","6","","","","plot",2009,0.185315184356791,2,1,1
-101.69712,38.46973,"Fraxinus pennsylvanica","United States","Kansas","Greeley","Tribune, 3 mi E","1974/07/10","GBIF","KU","KU","KU","KANU",4532,"176950915","Ralph E Brooks","","Craig C Freeman","","","specimen",1974,0.706010883515488,2,1,2
-102.26389,40.97384,"Fraxinus pennsylvanica","United States","Colorado","Sedgwick","Julesburg, 1 mi S","1972/06/25","GBIF","KU","KU","KU","KANU",4532,"233098788","Steve Stephens","","Craig C Freeman","","","specimen",1972,0.696726860817106,2,0,1
-102.04322,47.59442,"Fraxinus pennsylvanica","United States","North Dakota","McLean","Raub, 10.5 mi S","1967/07/01","GBIF","KU","KU","KU","KANU",4532,"233098923","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1967,0.671152114508921,2,1,1
-101.9853,48.95948,"Fraxinus pennsylvanica","United States","North Dakota","Renville","Sherwood, 16 mi W","1967/07/03","GBIF","KU","KU","KU","KANU",4532,"233098839","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1967,0.6657741225227,2,1,1
-101.955105,39.690262,"Fraxinus pennsylvanica","United States","Kansas","Cheyenne","St Francis, 10 mi SW","1957/08/27","GBIF","KU","KU","KU","KANU",4532,"176951059","Ronald L McGregor","","Craig C Freeman","","","specimen",1957,0.194866856664478,2,0,2
-102.968837,44.198097,"Fraxinus pennsylvanica","United States","South Dakota","Meade","Elk Creek","1908/08/14","GBIF","BHSC","BHSC","BHSC","BHSC",4232,"2512284477","Visher, Stephen S.","1116","","","","specimen",1908,0.190115356421006,2,1,1
-102.833333,50.633333,"Fraxinus pennsylvanica","Canada","Saskatchewan","","Qu'Appelle River Valley Near junction of highways 247 and 47. Loc. # 24, Grayson Rural Mun. Short grass prairie on hillside, south facing exposure.","1982/08/17","GBIF","CMN","CMN","CMN","CAN",830,"1804612680","Shchepanek, Michael J.; Dugal, Albert W.","4950","Dugal, A.W.","1984/01/01","","specimen",1982,18.3102269523496,2,1,1
-101.662394,41.130396,"Fraxinus pennsylvanica","United States","Nebraska","Keith","","2010/03/04","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","3","","","","plot",2010,0.193371532044126,2,1,1
-101.75222,37.97331,"Fraxinus pennsylvanica","United States","Kansas","Hamilton","Syracuse, 0.5 mi S","1975/05/16","GBIF","KU","KU","KU","KANU",4532,"176951001","Steve Stephens","","Craig C Freeman","","","specimen",1975,0.707816553466402,2,0,2
-101.972946,46.620352,"Fraxinus pennsylvanica","United States","North Dakota","Grant","","2011/10/09","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","5","","","","plot",2011,0.187493695096799,2,1,1
-102.558152,46.916026,"Fraxinus pennsylvanica","United States","North Dakota","Stark","","2006/06/27","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","2","","","","plot",2006,0.187171554278269,2,1,1
-101.904762,43.349516,"Fraxinus pennsylvanica","United States","South Dakota","Bennett","","2005/09/01","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","1","","","","plot",2005,0.191024439965563,2,1,1
-101.052162,40.74039,"Fraxinus pennsylvanica","United States","Nebraska","Lincoln","","2008/03/26","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","5","","","","plot",2008,0.193778847301006,3,1,1
-100.57444,41.788034,"Fraxinus pennsylvanica","United States","Nebraska","Thomas","Thedford, 13 mi S","1968/07/19","GBIF","KU","KU","KU","KANU",4532,"233098715","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1968,0.192681003369679,3,1,1
-99.90139,40.26349,"Fraxinus pennsylvanica","United States","Nebraska","Furnas","Arapahoe, 2.5 mi S","1972/06/22","GBIF","KU","KU","KU","KANU",4532,"233098932","Steve Stephens","","Craig C Freeman","","","specimen",1972,0.699388444488229,3,1,1
-100.01667,37.75278,"Fraxinus pennsylvanica","United States","Kansas","Ford","Dodge City","1975/05/20","GBIF","KU","KU","KU","KANU",4532,"176950996","Steve Stephens","","Craig C Freeman","","","specimen",1975,0.708614696506731,3,0,2
-100.354,44.3564,"Fraxinus pennsylvanica","United States","South Dakota","Hughes","Central part of Island.  Section 34, T5N R31E.  See Lat/Long Coordinates; LaFramboise Island","2003/07/22","VegBank","LaFramboise Island Management Plan","","","",55,"","","","David J. Ode","2003/07/22","","plot",2003,6.83803253640282,3,1,1
-101.21876,44.85748,"Fraxinus pennsylvanica","United States","South Dakota","Ziebach","Eagle Butte, 7.5 mi S","1967/06/25","GBIF","KU","KU","KU","KANU",4532,"233098910","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1967,0.681858933394592,3,1,1
-100.487977,38.963127,"Fraxinus pennsylvanica","United States","Kansas","Gove","Gove, N edge","1975/07/21","GBIF","KU","KU","KU","KANU",4532,"176950975","Steve Stephens","","Craig C Freeman","","","specimen",1975,0.195612272472602,3,1,2
-100.750086,46.636265,"Fraxinus pennsylvanica","United States","North Dakota","Morton","","2003/06/26","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","8","","","","plot",2003,0.187476369277667,3,1,1
-101.3835,47.4936,"Fraxinus pennsylvanica","United States","North Dakota","McLean","T146N R84W S4 SE1/4","1971/07/14","GBIF","BHSC","BHSC","BHSC","BHSC",4232,"2512329054","Stanley, Lowell D.","798","","","","specimen",1971,6.71549112739046,3,1,1
-99.80173,48.908472,"Fraxinus pennsylvanica","United States","North Dakota","Rolette","","2004/08/12","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","8","","","","plot",2004,0.184993145899421,3,1,1
-100.03613,48.84668,"Fraxinus pennsylvanica","United States","North Dakota","Rolette","","2011/06/30","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","9","","","","plot",2011,0.666219051817133,3,1,1
-100.567,51.617,"Fraxinus pennsylvanica","Canada","Manitoba","","Garland Canyon study site, E of Duck Mountain Provincial Forest; habitat: Damp woods along trail","1979/07/31","WIN","University of Manitoba","University of Manitoba","University of Manitoba","WIN",NA,"50883","Anita Schewe","","","","","specimen",1979,65.5288205419685,3,1,1
-100.55097,42.83657,"Fraxinus pennsylvanica","United States","Nebraska","Cherry","Valentine, 2.5 mi S","1966/07/28","GBIF","KU","KU","KU","KANU",4532,"233098860","Steve Stephens","","Craig C Freeman","","","specimen",1966,0.689655902259486,3,1,1
-100.593576,45.707822,"Fraxinus pennsylvanica","United States","South Dakota","Corson","T20N R29E S7 SE1/4 T20N R29E S7","1971/08/02","GBIF","BHSC","BHSC","BHSC","BHSC",4232,"2512332979","Vanderveen, Bruce","239","","","","specimen",1971,0.188485338072858,3,1,1
-100.0142,39.83383,"Fraxinus pennsylvanica","United States","Kansas","Norton","Norton, 6.5 mi W","1974/06/06","GBIF","KU","KU","KU","KANU",4532,"176950972","Steve Stephens","","Craig C Freeman","","","specimen",1974,0.700988001574857,3,1,2
-99.87907,39.61272,"Fraxinus pennsylvanica","United States","Kansas","Norton","Edmond, 1 mi S, 3 mi W","1961/06/28","GBIF","KU","KU","KU","KANU",4532,"176950969","Edward L Richards","","Craig C Freeman","","","specimen",1961,0.701808002072801,3,1,2
-100.05813,43.3258,"Fraxinus pennsylvanica","United States","South Dakota","Tripp","Winner, 3.5 mi S, 10 mi W","1971/07/13","GBIF","KU","KU","KU","KANU",4532,"233098898","Steve Stephens","","Craig C Freeman","","","specimen",1971,0.687779152838715,3,1,1
-99.97859,44.216527,"Fraxinus pennsylvanica","United States","South Dakota","Stanley","Fort Pierre, 22 mi SE","1967/06/23","GBIF","KU","KU","KU","KANU",4532,"233098746","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1967,0.190095550874953,3,1,1
-99.79951,43.32198,"Fraxinus pennsylvanica","United States","South Dakota","Tripp","Colome, 6 mi NW","1969/07/14","GBIF","KU","KU","KU","KANU",4532,"233098925","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1969,0.687793835341945,3,1,1
-99.90651,38.4093,"Fraxinus pennsylvanica","United States","Kansas","Ness","Ness City, 3 mi S","1972/06/14","GBIF","KU","KU","KU","KANU",4532,"176951078","Steve Stephens","","Craig C Freeman","","","specimen",1972,0.706231348225469,3,1,2
-100.64385,40.19667,"Fraxinus pennsylvanica","United States","Nebraska","Red Willow","McCook, 1 mi W","1966/07/29","GBIF","KU","KU","KU","KANU",4532,"233098817","Steve Stephens","","Craig C Freeman","","","specimen",1966,0.699637727349798,3,1,1
-99.784239,37.395205,"Fraxinus pennsylvanica","United States","Kansas","Clark","Ashland, 14 mi N; Clark County State Lake","1972/07/23","GBIF","KU","KU","KU","KANU",4532,"176951007","Steve Stephens; Steven Meyer","","Craig C Freeman","","","specimen",1972,0.197195404551318,3,0,2
-101.050066,42.797594,"Fraxinus pennsylvanica","United States","Nebraska","Cherry","","2010/03/07","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","4","","","","plot",2010,0.191612525978115,3,1,1
-101.28955,45.479314,"Fraxinus pennsylvanica","United States","South Dakota","Corson","","2008/08/04","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","3","","","","plot",2008,0.188732969272168,3,1,1
-99.766919,42.744183,"Fraxinus pennsylvanica","United States","Nebraska","Keya Paha","","2009/07/27","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","3","","","","plot",2009,0.191669293817703,3,1,1
-98.6551,37.29851,"Fraxinus pennsylvanica","United States","Kansas","Barber","Medicine Lodge, 1.2 mi N, 4.1 mi W","1958/06/19","GBIF","KU","KU","KU","KANU",4532,"176950931","Edward L Richards","","Craig C Freeman","","","specimen",1958,0.710250803051379,4,1,2
-99.52615,45.76939,"Fraxinus pennsylvanica","United States","South Dakota","McPherson","Eureka, 4.5 mi E","1967/07/29","GBIF","KU","KU","KU","KANU",4532,"233098785","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1967,0.678306843630219,4,1,1
-98.75862,40.09094,"Fraxinus pennsylvanica","United States","Nebraska","Franklin","Riverton, 5 mi S","1965/07/17","GBIF","KU","KU","KU","KANU",4532,"233098724","J Richardson; K Robertson","","Craig C Freeman","","","specimen",1965,0.700031780951598,4,1,1
-98.77203,38.40988,"Fraxinus pennsylvanica","United States","Kansas","Barton","Great Bend, 3 mi N","1965/06/01","GBIF","KU","KU","KU","KANU",4532,"176949054","Steve Stephens","","Craig C Freeman","","","specimen",1965,0.706229233251133,4,1,2
-98.424043,41.759531,"Fraxinus pennsylvanica","United States","Nebraska","Wheeler","","2007/08/07","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,"","","11","","","","plot",2007,0.192711025348121,4,1,1
-98.91682,47.97998,"Fraxinus pennsylvanica","United States","North Dakota","Benson","Fort Totten, 3.5 mi E","1967/07/26","GBIF","KU","KU","KU","KANU",4532,"233098802","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1967,0.669634764887015,4,1,1
-99.36425,53.158028,"Fraxinus pennsylvanica","Canada","Manitoba","","Little Saskatchewan River, west of Grand Rapids, Lake Winnipeg: alluvial island near Demi-charge Rapids. [Google Maps, 53.158040 -99.364255]","1948/08/18","GBIF","University of Manitoba","University of Manitoba","University of Manitoba","WIN",3048,"2028085951","H.J. Scoggan","4730","H.J. Scoggan","","","specimen",1948,1.80340685423145,4,1,1
-99.24917,34.91691,"Fraxinus pennsylvanica","United States","Oklahoma","Kiowa","Lone Wolf, 5 mi S","1968/08/13","GBIF","KU","KU","KU","KANU",4532,"233098848","Steve Stephens","","Craig C Freeman","","","specimen",1968,0.718640340397503,4,0,1
-99.5883333,50.7133333,"Fraxinus pennsylvanica","Canada","Manitoba","","ca. 5.4 kmalong junction trail from the top, Riding Mountain National Park; habitat: at the edge of a Populus-fraxinus woods","1979/08/02","UBC","University of British Columbia","University of British Columbia","University of British Columbia","UBC",NA,"V196142","W.A. Wojtas","946","","","","specimen",1979,18.3014569593705,4,1,1
-99.60664,46.39598,"Fraxinus pennsylvanica","United States","North Dakota","Logan","Beaver Lake","1909/07/18","GBIF","BHSC","BHSC","BHSC","BHSC",4232,"2512330050","Brenckle, Jacob F.","1995","","","","specimen",1909,0.675856432883531,4,1,1
-98.88388,39.65722,"Fraxinus pennsylvanica","United States","Kansas","Smith","Cedar, 3 mi E","1958/06/01","GBIF","KU","KU","KU","KANU",4532,"176949057","Edward L Richards","","Craig C Freeman","","","specimen",1958,0.701643145578609,4,1,1
-98.84444,48.06,"Fraxinus pennsylvanica","United States","North Dakota","Ramsey","Devils Lake Devils Lake: On thickly wooded banks of Devil's Lake","1914/07/13","GBIF","UConn","UConn","UConn","CONN",1807,"675232252","J. Lunell","","","","","specimen",1914,0.669319660700416,4,1,1
-99.301023,49.763205,"Fraxinus pennsylvanica","Canada","Manitoba","","Carberry Sandy slope, Carberry area, E of hiway 258, above Assiniboine River.  White spruce, aspen, oak, ground cedar.","1968/08/24","GBIF","University of Alberta Museums","University of Alberta Museums","University of Alberta Museums","ALTA-VP",2099,"883395289","Campbell, T.","C00656","Dugle, Janet R.","","","specimen",1968,0.184056228173628,4,1,1
-99.25055,31.25055,"Fraxinus pennsylvanica","United States","Texas","","Texas Texas: Fern Canyon, near Alpine","1932/04/01","GBIF","UConn","UConn","UConn","CONN",1807,"675232272","Theodore L. Steiger","318","","","","specimen",1932,0.730859976796615,4,0,1
-98.68063,43.059658,"Fraxinus pennsylvanica","United States","South Dakota","Gregory","Fort Randall Dam, 6 mi W","1969/07/01","GBIF","KU","KU","KU","KANU",4532,"233098874","Steve Stephens; Ralph E Brooks","","Craig C Freeman","","","specimen",1969,0.191333620731056,4,1,1
