"longitude","latitude","species","country","state_province","county","locality","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","catalog_number","recorded_by","record_number","identified_by","date_identified","identification_remarks","observation_type","Year","pmaxPrecision","folds","within_range","within_buffer"
-81.770202,30.721351,"Fraxinus profunda","United States","Florida","Nassau","","2007/12/18","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","5","","",NA,"plot",2007,0.203484475763076,1,0,7
-89.61527,36.59222,"Fraxinus profunda","United States","Missouri","New Madrid","Lilbourn in swampy woods","1933/08/20","MO","MO","MO","MO","",267,NA,"John H. Kellogg","s. n.","","",NA,"specimen",1933,0.712772558646042,1,1,8
-90.59177,34.60208,"Fraxinus profunda","United States","Arkansas","Phillips","Helena, 5 mi N","1955/07/16","GBIF","KU","KU","KU","KANU",4532,415727457,"Dwight M Moore","","Ronald L McGregor","",NA,"specimen",1955,0.719724211417636,1,0,5
-81.994918,29.148314,"Fraxinus profunda","United States","Florida","Marion","","2006/12/21","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","2","","",NA,"plot",2006,0.204841930288441,1,1,5
-82.019633,29.193733,"Fraxinus profunda","United States","Florida","Marion","United States: Florida: Marion County. Silver Springs: Silver River State Park. Seasonal wetland - with Sabal palmetto, Juniperus virginana, Acer rubrum, Ulmus americana, and Liquidambar styraciflua. Tree 10m tall. Lat. 29°11.624'N Long. 082°01.178'W Datum: WGS 84. Silver River State Park","2007/03/12","GBIF","FLAS","FLAS","FLAS","",4393,1457750057,"Jeffery Hubbard","697","","",NA,"specimen",2007,0.204803480676588,1,1,5
-90.641,29.766,"Fraxinus profunda","United States","Louisiana","Lafourche","Lake Boeuf WMA, ca 2.5 air mi NW of Lewiston, N of LA 308 via private roads.; Lake Boeuf","2006/08/18","GBIF","LSU","LSU","LSU","Vascular Plants",4573,1269720135,"Christopher Reid; Tood Baker","5843","","",NA,"specimen",2006,73.5536732697528,1,0,2
-90.3072222,36.0780556,"Fraxinus profunda","United States","Missouri","Dunklin","Ca. 2.5 mi NW of Cardwell; Indian Hill Island in the St. Francis River bottomland common on sandy island with agricultural history surrounded by bottomland forest; fruits yellowish-green; 10 in dbh tree$","2005/06/15","MO","MO","MO","MO","",267,NA,"Tim E. Smith","4131","","",NA,"specimen",2005,19.8497840818745,1,1,6
-84.991704,29.827336,"Fraxinus profunda","United States","Florida","Franklin","","2009/08/04","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","13","","",NA,"plot",2009,0.204262441239759,1,0,1
-81.529639,28.23661,"Fraxinus profunda","United States","Florida","Osceola","","2004/02/04","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","6","","",NA,"plot",2004,2.05604680926014,1,0,4
-87.974766,31.4346,"Fraxinus profunda","United States","Alabama","Washington","","2009/06/22","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","1","","",NA,"plot",2009,0.202851924778979,1,0,3
-88.251143,33.050893,"Fraxinus profunda","United States","Alabama","Pickens","ca 1 mi S Cochrane","1972/10/05","GBIF","CM","CM","CM","Botany",4306,2859209514,"Kral, R.","48788","R. Kral","",NA,"specimen",1972,0.201381101453076,1,0,3
-79.1244,33.5911,"Fraxinus profunda","United States","South Carolina","","Sandy Island, Georgetown County, W side of Cooter Cr at uppermost end of Indian Lake.","1998/05/20","GBIF","US","US","US","Botany",4885,2235852610,"J. B. Nelson & F. Long","19234","","",NA,"specimen",1998,7.23163872911199,1,1,16
-83.147919,29.772537,"Fraxinus profunda","United States","Florida","Dixie","","2008/11/05","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","1","","",NA,"plot",2008,0.204309577579955,1,1,5
