"longitude","latitude","species","country","state_province","county","locality","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","catalog_number","recorded_by","record_number","identified_by","date_identified","identification_remarks","observation_type","Year","pmaxPrecision","folds","within_range","within_buffer"
-92.17166,36.99222,"Fraxinus quadrangulata","United States","Missouri","Douglas","2 1/2 mi E of Holt lower limestone slopes along North Fork of White River","1937/07/24","MO","MO","MO","MO","",267,NA,"Julian A. Steyermark","23614","","",NA,"specimen",1937,0.71134773652793,1,1,1
-93.29722,37.52916,"Fraxinus quadrangulata","United States","Missouri","Polk","5 mi NW of Pleasant Hope top of lime bluffs at Buzzard's Den, along Pomme de Terre River","1937/08/01","MO","MO","MO","MO","",267,NA,"Julian A. Steyermark","24106","","",NA,"specimen",1937,0.709421448302471,1,1,1
-92.77046,37.98755,"Fraxinus quadrangulata","United States","Missouri","Camden","Camdenton, 2 mi SW","1968/07/20","GBIF","KSTC","KSTC","KSTC","Plants",4529,1137116614,"Stucky, Jon","","Stucky, Jon","",NA,"specimen",1968,0.707764929770204,1,1,1
-93.8411111,36.5766667,"Fraxinus quadrangulata","United States","Missouri","Barry","Between Hwy 112 and F.","1999/04/24","MO","MO","MO","MO","",267,NA,"Stephen L. Timme","15789","","",NA,"specimen",1999,19.8008082176134,1,1,1
-92.48222,38.55166,"Fraxinus quadrangulata","United States","Missouri","Moniteau","3 1/2 mi S of McGirk base of wooded slopes along North Moreau Creek","1937/08/16","MO","MO","MO","MO","",267,NA,"Julian A. Steyermark","24806","","",NA,"specimen",1937,0.705711694022994,1,1,1
-91.26083,37.18194,"Fraxinus quadrangulata","United States","Missouri","Shannon","Plant Survey of the Ozark National Scenic Riverways, Two Rivers Access on the Current River, just down stream from the confluence of Jack's Fork River mesic bottomland forest along river, sandy alluvial soil, shady","1997/06/30","MO","MO","MO","MO","",267,NA,"Bill Summers","8226-A","","",NA,"specimen",1997,0.71066887804572,1,1,1
-90.45305,37.09805,"Fraxinus quadrangulata","United States","Missouri","Wayne","Along St. Francis River, 1 mi E of Greenville on top of lime glade along W-facing bluffs","1936/06/28","MO","MO","MO","MO","",267,NA,"Julian A. Steyermark","11272","","",NA,"specimen",1936,0.71096929485352,1,1,3
-93.56388,38.15444,"Fraxinus quadrangulata","United States","Missouri","Saint Clair","3 1/2 mi N of Iconium wooded N-facing limestone bluffs along Osage River","1937/08/07","MO","MO","MO","MO","",267,NA,"Julian A. Steyermark","24379","","",NA,"specimen",1937,0.707159148622718,1,0,1
-95.769752,37.27991,"Fraxinus quadrangulata","United States","Kansas","Montgomery","Elk City Lake at Overlook Site E of dam, ca 3.5 mi S, 4 mi W of Sycamore on Table Mound","1990/05/07","GBIF","KU","KU","KU","KANU",4532,176951115,"Craig C Freeman","","Craig C Freeman","",NA,"specimen",1990,0.197310432395183,1,1,2
-87.8667,41.15,"Fraxinus quadrangulata","United States","Illinois","Kankakee","","1938/07/14","GBIF","F","F","F","Botany",4382,1228297693,"J. A. Steyermark & P. C. Standley","1716","","",NA,"specimen",1938,6.96064572992621,1,1,1
-87.44981,36.261641,"Fraxinus quadrangulata","United States","Tennessee","Dickson","","1997/11/05","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","1","","",NA,"plot",1997,0.198317597492345,1,0,1
-94.62726,37.02375,"Fraxinus quadrangulata","United States","Kansas","Cherokee","Baxter Springs, 6 mi E","1948/10/09","GBIF","KU","KU","KU","KANU",4532,176951122,"Ronald L McGregor","","Ronald L McGregor","",NA,"specimen",1948,0.711235050261581,1,0,1
-86.786256,35.976557,"Fraxinus quadrangulata","United States","Tennessee","Williamson","","2009/10/15","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","16","","",NA,"plot",2009,0.198596670115191,1,1,1
-86.699712,36.357845,"Fraxinus quadrangulata","United States","Tennessee","Sumner","","2010/08/03","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","7","","",NA,"plot",2010,0.198223131543199,1,0,1
-91.5575,39.50444,"Fraxinus quadrangulata","United States","Missouri","Ralls","1 1/2 mi W of Spalding upper dry open limestone wooded slopes along Salt River","1937/09/04","MO","MO","MO","MO","",267,NA,"Julian A. Steyermark","25831","","",NA,"specimen",1937,0.702208765240643,1,1,1
-94.046862,36.277531,"Fraxinus quadrangulata","United States","Arkansas","Benton","Monte Ne, 5 mi SE of Rogers","1949/07/09","GBIF","ASU","ASU","ASU","Plants",4193,2270535469,"D.M. Moore","49-851","","",NA,"specimen",1949,0.198302004619656,1,1,2
-91.31,38.75,"Fraxinus quadrangulata","United States","Missouri","Warren","","1988/01/01","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","5","","",NA,"plot",1988,704.987163305814,1,1,1
-90.46555,38.3625,"Fraxinus quadrangulata","United States","Missouri","Jefferson","Antonia antonia","1931/04/22","MO","MO","MO","MO","",267,NA,"Arthur Christ","s. n.","","",NA,"specimen",1931,0.706401963515584,1,1,1
-90.945,39.02555,"Fraxinus quadrangulata","United States","Missouri","Lincoln","Cuivre River State Park, wild area, big sugar creek, small tree along sugar bluff. limestone/dolomite cliff, west facing limestone bluff.; Original Name: Fraxinus quadrangulata$","1984/04/25","MO","MODNR","MODNR","MODNR","",267,NA,"Bruce Schuette","0442","","",NA,"specimen",1984,0.703974774725488,1,1,1
-87.45306,33.25139,"Fraxinus quadrangulata","United States","Alabama","Tuscaloosa","just above New Holt Lock and Dam, Warrior River","1968/11/08","GBIF","UA","UA","UA","UNA",1777,217059508,"Joab L. Thomas | Joab L. Thomas #","","","",NA,"specimen",1968,0.724302566938212,1,0,1
-96.08282,36.12981,"Fraxinus quadrangulata","United States","Oklahoma","Tulsa","Lost City, 0.5 mi S of Sand Springs on Hwy 97, 2 mi E on road along S bank of Arkansas River","1969/04/05","GBIF","KU","KU","KU","KANU",4532,176951113,"Jim R Massey; Charles H Perino","","Jim R Massey","",NA,"specimen",1969,0.714408520637947,1,0,1
-95.24167,38.25156,"Fraxinus quadrangulata","United States","Kansas","Anderson","Garnett, 2 mi S","1969/05/24","GBIF","KU","KU","KU","KANU",4532,176951131,"Steve Stephens","","Steve Stephens","",NA,"specimen",1969,0.706805971999222,1,0,2
-96.04334,37.40766,"Fraxinus quadrangulata","United States","Kansas","Elk","Longton, 3 mi NE","1956/06/10","GBIF","KU","KU","KU","KANU",4532,176951130,"Earl W Lathrop","","Earl W Lathrop","",NA,"specimen",1956,0.709858681199144,1,1,2
-88.4333,41.95,"Fraxinus quadrangulata","United States","Illinois","Kane","","1952/08/03","GBIF","F","F","F","Botany",4382,1228194380,"F. A. Swink","1620","","",NA,"specimen",1952,6.93037758719077,1,0,1
-88.218069,42.893173,"Fraxinus quadrangulata","United States","Wisconsin","Waukesha","","1938/09/26","GBIF","Milwaukee Public Museum (MPM)","Milwaukee Public Museum (MPM)","Milwaukee Public Museum (MPM)","MIL",3784,1305218035,"C. C. Cook","C339","","",NA,"specimen",1938,0.191510875033926,1,0,1
-92.52,39.19,"Fraxinus quadrangulata","United States","Missouri","Howard","","1988/07/01","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","2","","",NA,"plot",1988,703.370608827269,1,1,2
-87.024692,35.995867,"Fraxinus quadrangulata","United States","Tennessee","Davidson","","2000/10/24","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","5","","",NA,"plot",2000,0.198577810234705,1,1,1
-87.930276,43.58174,"Fraxinus quadrangulata","United States","Wisconsin","Sheboygan","","2000/03/20","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","8","","",NA,"plot",2000,0.190776229282929,1,0,1
-90.866293,36.65741,"Fraxinus quadrangulata","United States","Missouri","Ripley","","2011/01/25","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","5","","",NA,"plot",2011,0.197928040354458,1,1,1
-89.300855,41.159308,"Fraxinus quadrangulata","United States","Illinois","Putnam","","2005/04/27","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","4","","",NA,"plot",2005,0.193341271583726,1,1,1
-86.584575,39.75735,"Fraxinus quadrangulata","United States","Indiana","Hendricks","","2001/08/16","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","4","","",NA,"plot",2001,0.194797743352751,1,1,1
-92.072983,35.994938,"Fraxinus quadrangulata","United States","Arkansas","Izard","","2005/08/12","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","203","","",NA,"plot",2005,0.198578716907311,1,0,1
-93.36,35.97,"Fraxinus quadrangulata","United States","Arkansas","Newton","","1978/12/01","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","1","","",NA,"plot",1978,714.972445886543,1,0,1
-87.16154,39.901713,"Fraxinus quadrangulata","United States","Indiana","Parke","","2005/04/12","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","15","","",NA,"plot",2005,0.194648837723664,1,1,1
-81.683333,42.716667,"Fraxinus quadrangulata","Canada","Ontario","Middlesex","Strathburn #2 Hwy E of Strathburn Clay loam stream bank.","1966/08/20","GBIF","CMN","CMN","CMN","CAN",830,1804444880,"Zavitz, C.H.; Zavitz, R. Perry","1540","Ambrose, J.D.","1983/04/15",NA,"specimen",1966,19.1698751649206,2,0,2
-85.402346,36.558689,"Fraxinus quadrangulata","United States","Tennessee","Clay","","2004/01/21","FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams","","",31,NA,"","3","","",NA,"plot",2004,0.198025443043031,2,0,2
-82.698821,41.605114,"Fraxinus quadrangulata","United States","Ohio","Erie","Kelley's Island","1911/07/08","GBIF","CM","CM","CM","Botany",4306,2859227314,"Jennings, O.E.","s.n.","","",NA,"specimen",1911,0.192873526062314,2,0,3
-83.729065,42.235702,"Fraxinus quadrangulata","United States","Michigan","Washtenaw","3rd Woods, Ann Arbor","1903/01/01","GBIF","MICH","MICH","MICH","Angiosperms",4611,1989122315,"Jean Dawson","","Edward G. Voss","1987/01/01",NA,"specimen",1903,0.192208415131366,2,0,4
-84.29345,37.715294,"Fraxinus quadrangulata","United States","Kentucky","Madison","70 meters NNW of Bees interpretive sign. 100 meters east of Riparian interpretive sign. On north side of northern most trail. Adjacent to trail.","2014/09/19","GBIF","EKY","EKY","EKY","",4371,1978007282,"Thomas S. McFadden; Group","60","","",NA,"specimen",2014,0.196875031843588,2,1,1
-83.55291,43.00992,"Fraxinus quadrangulata","United States","Michigan","Genesee","nr junct. Irish & Lapeer Rds. east of Flint.","1970/06/30","GBIF","MICH","MICH","MICH","Angiosperms",4611,1989475446,"John Merkle","70-25","Edward G. Voss","1987/01/01",NA,"specimen",1970,0.688991767017185,2,0,1
-84.942222,42.816111,"Fraxinus quadrangulata","United States","Michigan","Ionia","Portland State Game Area, Along trail to Grand River past the dead end of Towner Road, ca. 6 Km SW of Portland.","2003/05/21","GBIF","MICH","MICH","MICH","Angiosperms",4611,1989404667,"Anton A. Reznicek","11473","","",NA,"specimen",2003,19.159305868459,2,0,1
